"bookmark_count","bookmarked","conversation_id_str","created_at","favorite_count","favorited","full_text","id_str","in_reply_to_screen_name","in_reply_to_status_id_str","in_reply_to_user_id_str","is_quote_status","lang","place/country","place/country_code","place/full_name","place/id","place/name","place/place_type","place/url","possibly_sensitive","possibly_sensitive_editable","quote_count","quoted_status_id_str","quoted_status_permalink/display","quoted_status_permalink/expanded","quoted_status_permalink/url","reply_count","retweet_count","retweeted","scopes/followers","url","user/can_dm","user/can_media_tag","user/created_at","user/default_profile_image","user/description","user/fast_followers_count","user/favourites_count","user/followers_count","user/friends_count","user/has_custom_timelines","user/is_translator","user/listed_count","user/location","user/media_count","user/name","user/normal_followers_count","user/possibly_sensitive","user/profile_banner_url","user/profile_image_url_https","user/screen_name","user/statuses_count","user/translator_type","user/url","user/verified","user/verified_type","user/want_retweets","user_id_str"
"0","false","1680105342804582400","Sat Jul 15 06:41:43 +0000 2023","0","false","पवार साहेब आमचे श्रद्धास्थान, प्रेरणास्थान आहेत - अजित पवार
.
.

#ajitpawar #eknathshinde #uddhavthackeray #devendrafadnavis #shivsena #maharashtra #sharadpawar #latestnews #timesofdemocracy https://t.co/Hx30GXSNFH","1680105342804582400",,,,"false","mr",,,,,,,,"false","true","0",,,,,"0","0","false",,"https://twitter.com/TODMarathi/status/1680105342804582400","false","true","Sat May 08 11:54:12 +0000 2021","false","TOD मराठी... लोकांकडून लोकांसाठी","0","928","478","44","false","false","1","Maharashtra","9243","TOD Marathi","478","false","https://pbs.twimg.com/profile_banners/1390997891137695754/1628157135","https://pbs.twimg.com/profile_images/1390998717809922048/SaW88PZp_normal.jpg","TODMarathi","10985","none","https://t.co/Y1NJerAfg0","false",,"false","1390997891137695754"
"0","false","1680105079398092800","Sat Jul 15 06:40:40 +0000 2023","0","false","आता ह्या सगळ्यानंतर ओरिजिनल गद्दारांसाठी काही शिल्लक राहिलंय का? - आदित्य ठाकरे   
.
.
#aadityathackeray #eknathshinde #uddhavthackeray #devendrafadnavis #ajitpawar #shivsena #maharashtra #sharadpawar #latestnews #timesofdemocracy https://t.co/ce59CyPW2w","1680105079398092800",,,,"false","mr",,,,,,,,"false","true","0",,,,,"0","0","false",,"https://twitter.com/TODMarathi/status/1680105079398092800","false","true","Sat May 08 11:54:12 +0000 2021","false","TOD मराठी... लोकांकडून लोकांसाठी","0","928","478","44","false","false","1","Maharashtra","9243","TOD Marathi","478","false","https://pbs.twimg.com/profile_banners/1390997891137695754/1628157135","https://pbs.twimg.com/profile_images/1390998717809922048/SaW88PZp_normal.jpg","TODMarathi","10985","none","https://t.co/Y1NJerAfg0","false",,"false","1390997891137695754"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://twitter.com/undefined/status/undefined",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0","false","1680104653441372160","Sat Jul 15 06:38:58 +0000 2023","1","false","अजित पवार आता अर्थमंत्री झाले आहेत, त्यामुळे शिंदे गटातील ४० आमदारांनी पुन्हा उद्धव ठाकरेंकडे येण्यास हरकत नाही - अशोक चव्हाण #ashokchavan #Congress #AjitPawar #ajitpawarncp #UddhavThackeray #EknathShinde #shindegroup #ShivsenaUBT @AshokChavanINC @ShivSenaUBT_ #Maharashtra https://t.co/QoWV3wXuKK","1680104653441372160",,,,"false","mr",,,,,,,,"false","true","0",,,,,"0","0","false",,"https://twitter.com/sanchar_rashtra/status/1680104653441372160","false","true","Wed Jan 19 12:15:29 +0000 2022","false","शहर, राज्य, देश आणि विदेश येथील सर्व क्षेत्रातील घडामोडी सगळ्यात आधी मिळवण्यासाठी राष्ट्रसंचारला फॉलो करा...","0","254","90","212","false","false","0","Pune, India","2378","Rashtrasanchar","90","false","https://pbs.twimg.com/profile_banners/1483774968131633155/1644150290","https://pbs.twimg.com/profile_images/1490333425123074050/aivzKtPx_normal.jpg","sanchar_rashtra","10130","none","https://t.co/4a8b1gKKtY","false",,"false","1483774968131633155"
"0","false","1680104528325263360","Sat Jul 15 06:38:29 +0000 2023","2","false","पावसाळी अधिवेशनात शेतकरी आणि जनतेच्या प्रश्नांवर अधिक लक्ष देणार आहे - अजित पवार
.
.
.
.
#ajitpawar #eknathshinde #devendrafadnavis #latestnews #bjp #shivsena #ncp #funnyvideos #maharashtra #timesofdemocracy #todmarathi https://t.co/KRxN05ins6","1680104528325263360",,,,"false","mr",,,,,,,,"false","true","0",,,,,"0","1","false",,"https://twitter.com/TODMarathi/status/1680104528325263360","false","true","Sat May 08 11:54:12 +0000 2021","false","TOD मराठी... लोकांकडून लोकांसाठी","0","928","478","44","false","false","1","Maharashtra","9243","TOD Marathi","478","false","https://pbs.twimg.com/profile_banners/1390997891137695754/1628157135","https://pbs.twimg.com/profile_images/1390998717809922048/SaW88PZp_normal.jpg","TODMarathi","10985","none","https://t.co/Y1NJerAfg0","false",,"false","1390997891137695754"
"0","false","1680104449778262016","Sat Jul 15 06:38:10 +0000 2023","0","false","వ్రతం చెడ్డా ఫలితం దక్కించుకున్న అజిత్! - Ajit Pawar Got The Result For His Effort   #Ajitpawar #EknathShinde #maharashtra #TeluguPolitical #Telangana #YSRC #Telugu #TeluguStop

https://t.co/uZcGkvjAQ6","1680104449778262016",,,,"false","und",,,,,,,,"false","true","0",,,,,"0","0","false",,"https://twitter.com/telugustop/status/1680104449778262016","true","true","Wed Nov 14 05:59:27 +0000 2012","false","https://t.co/vz51VjQJYk is one stop source for Telugu News from Andhra Pradesh / Telangana & Around World.Please follow TeluguStop Media & Stay Tuned info@telugustop.com","0","586","56008","797","true","false","21","India","7864","TeluguStop.com","56008","false","https://pbs.twimg.com/profile_banners/947147264/1574458229","https://pbs.twimg.com/profile_images/1303487698494201857/8dlafzZn_normal.jpg","telugustop","240587","none","https://t.co/movjt6y8VD","false",,"false","947147264"
"0","false","1680103249897193473","Sat Jul 15 06:33:24 +0000 2023","7","false","""This Eknath Shinde is a walking ministry, wherever this Eknath Shinde stands, people bring files to sign. Because they know that this is where their work will be done. Where do you find such a Chief Minister?""

- CM @mieknathshinde ji https://t.co/6mapGmWZKS","1680103249897193473",,,,"false","en",,,,,,,,"false","true","0",,,,,"0","2","false",,"https://twitter.com/IMohan_IN/status/1680103249897193473","false","true","Wed Oct 12 10:49:09 +0000 2022","false","Current sarsanghchalak of the Rashtriya Swayamsevak Sangh in India (fan page)","0","1588","75806","21","true","false","10","","413","Mohan Bhagwat🇮🇳( Parody)","75806","false","https://pbs.twimg.com/profile_banners/1580148506488180736/1665584289","https://pbs.twimg.com/profile_images/1585209940398198785/4M7s1yr6_normal.jpg","IMohan_IN","2941","none",,"false",,"false","1580148506488180736"
"4","false","1678119216640143361","Sun Jul 09 19:09:33 +0000 2023","480","false","Miley's four-seamer got them all: 9 pitches, 3 consecutive strikeouts.

#ThisIsMyCrew https://t.co/ouwNcDjuE4","1678119216640143361",,,,"false","en",,,,,,,,"false","true","8",,,,,"8","40","false",,"https://twitter.com/Brewers/status/1678119216640143361","false","true","Wed Jul 01 19:29:21 +0000 2009","false","Official Twitter of the Milwaukee Brewers. Cannot open or close the roof. #ThisIsMyCrew","0","47903","724339","193","true","false","5363","American Family Field","28378","Milwaukee Brewers","724339","false","https://pbs.twimg.com/profile_banners/52824038/1637249511","https://pbs.twimg.com/profile_images/1542666341139750915/Sw0walV-_normal.jpg","Brewers","61079","none","https://t.co/bf1wyzcORc","false","Business","false","52824038"
"0","false","1680103231349997570","Sat Jul 15 06:33:19 +0000 2023","2","false","Supreme Court served supreme notice to Maharashtra assembly  speaker to decide the fate of CM Eknath Shinde and other 15 Shivsena ( Shinde) MLAs within 2 weeks.","1680103231349997570",,,,"false","en",,,,,,,,,,"0",,,,,"0","2","false",,"https://twitter.com/MahapatPravat/status/1680103231349997570","false","true","Fri Oct 24 15:07:30 +0000 2014","false","Social activist, political analyst,freelance writer,sports administrator, hate liars & bhaktas.RT not endorsements.","0","301136","5053","1675","true","false","3","JAJPUR ROAD & BHUBANESWAR.","2999","Chinu Mahapatra.","5053","false","https://pbs.twimg.com/profile_banners/2875395596/1657625830","https://pbs.twimg.com/profile_images/1046434468049743878/NyOniQ-Y_normal.jpg","MahapatPravat","197666","none",,"false",,"false","2875395596"
"0","false","1680102606226743297","Sat Jul 15 06:30:50 +0000 2023","2","false","#WARDHA | वर्ध्यात वाहतूक नियंत्रण शाखेची कारवाई ; नियम मोडणाऱ्यांकडून आकारला 58 लाख 29 हजार 250 रुपयांचा दंड

#amravati #Marathinews #Trending #Letestnews #MaharashtraPoliticalCrisis #SharadPawar #NCPCrisis #ajitpawar #eknathshinde #ShivSena #uddhavthakre #Mumbai https://t.co/n71lejANyQ","1680102606226743297",,,,"false","mr","India","IN","Amravati, India","1b8bf34b41bee082","Amravati","city","https://api.twitter.com/1.1/geo/id/1b8bf34b41bee082.json","false","true","0",,,,,"0","0","false",,"https://twitter.com/DigitalRcn/status/1680102606226743297","false","true","Thu Jun 01 10:08:32 +0000 2023","false","OFFICIAL ACCOUNT OF RCN DIGITAL NEWS
           FOLLOW ON                         

     INSTAGRAM -  https://t.co/fXTa9hcenj","0","719","18","31","false","false","0","MAHARASHTRA","842","RCN NEWS","18","false",,"https://pbs.twimg.com/profile_images/1664212506527817728/FTD9wA0c_normal.jpg","DigitalRcn","872","none",,"false",,"false","1664212105191649281"
